property_id,location_city,location_district,listing_date,property_type,square_footage,bedrooms,bathrooms,year_built,build_quality_rating,nearby_amenities_score,market_trend_index,sale_price_gbp,agent_commission_percentage,days_on_market,transaction_type,revenue_activity,revenue_gbp_monthly,property_age,listing_month,demand_index
BG-GUI-20240404-00001,Guildford,Park Barn,2024-04-04,Apartment,535,4,2,1991,1,2.0,1.08,397091.4,2.07,49,Sale,Sale Commission,684.98,34,4,0.02
BG-GUI-20200820-00002,Guildford,Stoughton,2020-08-20,Townhouse,3760,2,1,2006,1,7.0,0.85,1708043.02,2.3,105,Lease,Airbnb/Short Let,118517.69,19,8,0.009433962264150943
BG-LON-20220707-00003,London,Croydon,2022-07-07,Apartment,3038,1,1,1966,6,7.0,1.1,1951322.16,2.38,35,Sale,Sale Commission,3870.12,59,7,0.027777777777777776
BG-REA-20200313-00004,Reading,Kennet Island,2020-03-13,Detached House,2943,3,1,1977,4,6.0,0.93,1695932.42,1.94,74,Lease,Airbnb/Short Let,111895.23,48,3,0.013333333333333334
BG-REA-20240117-00005,Reading,Kennet Island,2024-01-17,Detached House,3284,3,2,1976,2,1.0,1.09,1478518.07,1.88,111,Sale,Sale Commission,2316.34,49,1,0.008928571428571428
BG-LON-20180707-00006,London,Brixton,2018-07-07,Detached House,3487,5,5,1959,8,2.0,1.0,1499237.27,2.06,167,Sale,Sale Commission,2573.69,66,7,0.005952380952380952
BG-REA-20210818-00007,Reading,Earley,2021-08-18,Townhouse,3874,1,1,1967,4,4.0,1.13,2315188.34,2.64,27,Sale,Sale Commission,5093.41,58,8,0.03571428571428571
BG-LON-20180821-00008,London,Shoreditch,2018-08-21,Apartment,2080,1,1,2012,4,,0.98,704303.12,1.44,101,Sale,Sale Commission,845.16,13,8,0.00980392156862745
BG-GUI-20200211-00009,Guildford,Stoughton,2020-02-11,Apartment,736,5,1,1953,9,4.0,1.02,507939.7,1.82,133,Sale,Sale Commission,770.38,72,2,0.007462686567164179
BG-GUI-20230417-00010,Guildford,Onslow Village,2023-04-17,Townhouse,807,2,1,2023,5,5.0,1.15,591900.72,2.2,173,Lease,Airbnb/Short Let,25752.57,2,4,0.005747126436781609
BG-LON-20190423-00011,London,Notting Hill,2019-04-23,Townhouse,944,3,1,1991,2,3.0,0.98,608819.8,2.4,178,Sale,Sale Commission,1217.64,34,4,0.00558659217877095
BG-LON-20210329-00012,London,Hackney,2021-03-29,Apartment,1052,1,1,1961,6,8.0,0.89,488081.91,2.21,130,Lease,Airbnb/Short Let,31551.54,64,3,0.007633587786259542
BG-REA-20200225-00013,Reading,Southcote,2020-02-25,Townhouse,1176,1,1,1975,8,4.0,0.99,583705.93,2.49,12,Sale,Sale Commission,1211.19,50,2,0.07692307692307693
BG-REA-20190906-00014,Reading,Tilehurst,2019-09-06,Apartment,1555,4,4,1984,4,1.0,1.01,735015.95,1.44,130,Sale,Sale Commission,882.02,41,9,0.007633587786259542
BG-LON-20250607-00015,London,Notting Hill,2025-06-07,Townhouse,2679,3,3,1980,5,8.0,1.11,1430363.08,2.27,129,Sale,Sale Commission,2705.77,45,6,0.007692307692307693
BG-LON-20250627-00016,London,Wimbledon,2025-06-27,Apartment,2496,2,1,1984,6,8.0,1.11,1051041.2,2.35,120,Lease,Residential Rent,55564.36,41,6,0.008264462809917356
BG-REA-20220625-00017,Reading,Kennet Island,2022-06-25,Detached House,1502,1,1,1992,1,6.0,1.06,663942.35,1.59,96,Sale,Sale Commission,879.72,33,6,0.010309278350515464
BG-REA-20210603-00018,Reading,Coley,2021-06-03,Apartment,1046,1,1,1950,5,5.0,0.93,514269.73,1.6,111,Lease,Residential Rent,32521.98,75,6,0.008928571428571428
BG-LON-20191018-00019,London,Ealing,2019-10-18,Townhouse,3702,2,2,1950,10,10.0,1.0,1967973.82,2.02,150,Lease,Student Housing,82999.97,75,10,0.006622516556291391
BG-LON-20210503-00020,London,Wimbledon,2021-05-03,Townhouse,1136,5,2,1971,1,7.0,0.87,387535.53,1.5,24,Lease,Airbnb/Short Let,19659.3,54,5,0.04
BG-LON-20211024-00021,London,Islington,2021-10-24,Townhouse,3640,2,2,1996,4,5.0,1.14,2984740.58,1.45,154,Sale,Sale Commission,3606.56,29,10,0.0064516129032258064
BG-GUI-20180812-00022,Guildford,Burpham,2018-08-12,Detached House,1005,2,1,1967,4,10.0,0.99,555791.06,2.16,133,Sale,Sale Commission,1000.42,58,8,0.007462686567164179
BG-GUI-20201001-00023,Guildford,Onslow Village,2020-10-01,Detached House,3277,2,1,1975,10,7.0,0.86,1969174.92,1.35,143,Lease,Residential Rent,89799.95,50,10,0.006944444444444444
BG-REA-20241026-00024,Reading,Tilehurst,2024-10-26,Townhouse,2873,3,1,1972,4,9.0,1.1,1749723.97,1.31,157,Lease,Student Housing,47150.56,53,10,0.006329113924050633
BG-GUI-20190119-00025,Guildford,Stoughton,2019-01-19,Townhouse,531,3,2,1989,5,6.0,1.0,390257.01,1.57,14,Sale,Sale Commission,510.59,36,1,0.06666666666666667
BG-GUI-20220923-00026,Guildford,Jacobs Well,2022-09-23,Apartment,1768,1,1,2012,5,2.0,1.1,913936.95,2.93,104,Sale,Sale Commission,2231.53,13,9,0.009523809523809525
BG-REA-20200128-00027,Reading,Southcote,2020-01-28,Apartment,1846,5,4,1953,4,,1.01,1437617.99,2.07,102,Lease,Student Housing,49438.08,72,1,0.009708737864077669
BG-GUI-20240310-00028,Guildford,Stoughton,2024-03-10,Detached House,1313,1,1,2000,8,9.0,1.1,574644.21,2.86,150,Lease,Student Housing,44446.06,25,3,0.006622516556291391
BG-LON-20210809-00029,London,Hackney,2021-08-09,Apartment,3368,3,1,1980,6,3.0,1.1,2195730.57,1.74,10,Sale,Sale Commission,3183.81,45,8,0.09090909090909091
BG-LON-20230513-00030,London,Notting Hill,2023-05-13,Apartment,3580,1,1,1979,5,6.0,1.13,2474088.18,1.26,38,Sale,Sale Commission,2597.79,46,5,0.02564102564102564
BG-GUI-20190822-00031,Guildford,Onslow Village,2019-08-22,Apartment,992,4,4,1995,10,2.0,0.99,643369.06,2.89,33,Sale,Sale Commission,1549.45,30,8,0.029411764705882353
BG-REA-20180619-00032,Reading,Southcote,2018-06-19,Detached House,1188,4,3,1959,7,4.0,0.99,688326.83,2.91,139,Sale,Sale Commission,1669.19,66,6,0.007142857142857143
BG-REA-20200305-00033,Reading,Earley,2020-03-05,Detached House,1442,2,1,1975,7,5.0,0.86,486839.85,1.56,110,Sale,Sale Commission,632.89,50,3,0.009009009009009009
BG-REA-20201027-00034,Reading,Tilehurst,2020-10-27,Apartment,3891,1,1,2010,2,1.0,0.88,1405773.17,2.94,156,Sale,Sale Commission,3444.14,15,10,0.006369426751592357
BG-REA-20191206-00035,Reading,Earley,2019-12-06,Apartment,502,4,4,1995,2,2.0,0.98,354945.33,1.48,71,Lease,Airbnb/Short Let,14272.66,30,12,0.013888888888888888
BG-GUI-20230320-00036,Guildford,Onslow Village,2023-03-20,Apartment,1681,3,1,2008,9,6.0,1.13,1352513.59,2.7,27,Sale,Sale Commission,3043.16,17,3,0.03571428571428571
BG-LON-20181217-00037,London,Richmond,2018-12-17,Apartment,3024,2,2,2000,2,1.0,1.0,1351305.64,2.76,43,Sale,Sale Commission,3108.0,25,12,0.022727272727272728
BG-GUI-20210502-00038,Guildford,Park Barn,2021-05-02,Detached House,3103,2,2,1985,7,2.0,0.94,1617490.39,1.58,132,Sale,Sale Commission,2129.7,40,5,0.007518796992481203
BG-GUI-20220623-00039,Guildford,Burpham,2022-06-23,Detached House,1872,5,1,2014,2,2.0,1.14,887488.82,1.85,154,Sale,Sale Commission,1368.21,11,6,0.0064516129032258064
BG-LON-20250127-00040,London,Greenwich,2025-01-27,Apartment,3380,2,1,2016,6,7.0,1.1,1330345.73,1.16,59,Lease,Residential Rent,104447.38,9,1,0.016666666666666666
BG-GUI-20230708-00041,Guildford,Guildford Town Centre,2023-07-08,Detached House,1208,2,2,2001,7,4.0,1.12,727219.63,2.39,148,Sale,Sale Commission,1448.38,24,7,0.006711409395973154
BG-GUI-20191026-00042,Guildford,Stoughton,2019-10-26,Townhouse,2586,1,1,1979,1,3.0,0.99,1258529.47,1.42,39,Lease,Airbnb/Short Let,67693.42,46,10,0.025
BG-REA-20240312-00043,Reading,Kennet Island,2024-03-12,Detached House,507,3,2,1978,10,3.0,1.12,383471.96,2.19,56,Lease,Student Housing,10597.26,47,3,0.017543859649122806
BG-LON-20220329-00044,London,Camden,2022-03-29,Townhouse,1500,4,1,1997,2,6.0,1.15,1003494.74,1.55,115,Lease,Airbnb/Short Let,32288.56,28,3,0.008620689655172414
BG-GUI-20211212-00045,Guildford,Jacobs Well,2021-12-12,Detached House,3617,3,3,1952,5,7.0,1.14,2599234.95,2.33,29,Lease,Airbnb/Short Let,101094.42,73,12,0.03333333333333333
